Unnamed: 0,Venue,City,Country,Date,Year,State,Setlist,Set Opener,Latitude,Longitude
1395,Richfield Coliseum,Richfield,USA,1993-03-14,1993,OH,"['cold rain and snow', ""walkin' blues"", 'brown eyed women', ""tom thumb's blues"", 'lazy river road', 'eternity', ""don't ease me in"", 'touch of grey', 'samson and delilah', 'long way to go home', 'corina', 'terrapin station', 'drums', 'space', 'i need a miracle', 'stella blue', ""throwin' stone"", 'lovelight', 'i fought the law']",cold rain and snow,41.2397772,-81.6381785
1396,Capital Centre,Landover,USA,1993-03-16,1993,MD,"['jack straw', 'row jimmy', 'minglewood blues', 'so many roads', 'cassidy', 'tennessee jed', 'promised land', 'scarlet begonias', 'fire on the mountain', 'women are smarter', ""uncle john's band"", 'drums', 'space', 'the last time', 'morning dew', 'sugar magnolia', 'us blues']",jack straw,38.925313,-76.8815433
1397,Capital Centre,Landover,USA,1993-03-17,1993,MD,"['shakedown street', 'wang dang doodle', 'lazy river road', 'desolation row', 'ramble on rose', 'eternity', 'liberty', 'picasso moon', 'crazy fingers', ""playin' in the band"", 'dark star', 'drums', 'space', 'the other one', 'the days between', 'good lovin', 'lucy in the sky with diamonds']",shakedown street,38.925313,-76.8815433
1398,Capital Centre,Landover,USA,1993-03-18,1993,MD,"['hell in a bucket', 'sugaree', 'walkin blues', 'broken arrow', 'loose lucy', 'masterpiece', 'friend of the devil', 'music never stopped', 'china cat sunflower', 'i know you rider', 'long way to go home', 'wave to the wind', 'estimated prophet', 'terrapin station', 'drums', 'space', 'corina', 'wharf rat', ""throwin' stones"", 'not fade away', 'i fought the law']",hell in a bucket,38.925313,-76.8815433
1399,The Omni,Atlanta,USA,1993-03-20,1993,GA,"['mississippi halfstep', ""it's all over now"", 'so many roads', 'me and my uncle', ""maggie's farm"", 'birdsong', 'promised land', 'eyes of the world', 'looks like rain', 'lazy river road', ""truckin'"", 'smokestack lightning', 'drums', 'space', 'the wheel', 'watchtower', 'standing on the moon', 'one more saturday night', 'liberty']",mississippi halfstep,33.7544657,-84.3898151
1400,The Omni,Atlanta,USA,1993-03-21,1993,GA,"['feels like a stranger', 'west la fadeaway', 'black throated wind', 'candyman', 'queen jane', 'brown eyed women', 'eternity', 'liberty', 'samson and delilah', 'long way to go home', 'broken arrow', 'saint of circumstance', ""he's gone"", 'drums', 'space', 'i need a miracle', 'the days between', 'around and around', ""baba o'riley"", 'tomorrow never knows']",feels like a stranger,33.7544657,-84.3898151
1401,The Omni,Atlanta,USA,1993-03-22,1993,GA,"['help on the way', 'slipknot', ""franklin's tower"", 'little red rooster', 'althea', 'biodtl', ""tom thumb's blues"", 'lazy river road', 'picasso', 'wave to the wind', 'aiko aiko', 'corina', ""uncle john's band"", 'china doll', 'drums', 'space', 'the last time', 'stella blue', 'sugar magnolia', 'i fought the law']",help on the way,33.7544657,-84.3898151
1402,"The Dean Dome, University of NC",Chapel Hill,USA,1993-03-24,1993,NC,"['jack straw', 'stagger lee', 'wang dang doodle', 'it must have been the roses', 'memphis blues', 'tennessee jed', 'let it grow', 'here comes sunshine', ""playin' in the band"", 'box of rain', 'crazy fingers', 'drums', 'space', 'spanish jam', 'gdtrfb', ""throwin' stones"", 'not fade away', 'lucy in the sky with diamonds']",jack straw,35.9131542,-79.05578
1403,"The Dean Dome, University of NC",Chapel Hill,USA,1993-03-25,1993,NC,"['touch of grey', 'greatest story ever told', 'so many roads', 'minglewood blues', 'lazy river road', 'mexicali blue', 'big river', 'friend of the devil', 'eternity', 'liberty', 'china cat sunflower', 'i know you rider', 'women are smarter', 'wave to the wind', 'terrapin station', 'drums', 'space', 'long way to go home', 'the other one', 'morning dew', 'the weight']",touch of grey,35.9131542,-79.05578
1404,Knickerbocker Arena,Albany,USA,1993-03-27,1993,NY,"['hell in a bucket', 'bertha', 'the same thing', 'peggyo', 'queen jane', 'broken arrow', 'loose lucy', 'cassidy', 'casey jones', 'eyes of the world', 'estimated prophet', 'comes a time', 'corina', 'drums', 'space', 'the wheel', 'watchtower', 'the days between', 'one more saturday night', 'i fought the law']",hell in a bucket,42.6511674,-73.754968
1405,Knickerbocker Arena,Albany,USA,1993-03-28,1993,NY,"['mississippi half step', ""walkin' blues"", 'so many roads', 'masterpiece', 'high time', 'eternity', 'deal', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'ship of fools', 'wave to the wind', ""truckin'"", 'drums', 'space', 'long way to go home', 'attics of my life', 'lovelight', ""knockin' on heaven's door""]",mississippi half step,42.6511674,-73.754968
